Japanese,English
seikou,success 
doryoku,endeavor 
setsumei,explanation 
jishin,earthquake 
shujutsu,surgical operation 
yakedo,burn 
kadai,task 
ko,young child 
kakunin,confirmation 
jissai,reality 
kokusai,international (used in compound nouns) 
kaigi,conference 
teian,proposition 
jimusho,office 
kyouju,professor 
seiki,century 
achikochi,all over 
sochira,there 
achira,over there 
moshi,if 
urusai,noisy 
katai,stiff 
fukai,deep 
omoshiroi,interesting 
mattaku,entirely 
hanbun,half 
futsuu,normal 
bun,amount 
bunka,culture 
mainichi,every day 
kiwotsukeru,be careful about 
mamoru,protect 
mochiron,of course 
yahari,as expected 
ikura,how much (money) 
yoroshiku,one’s regards 
donata,who (polite) 
yurusu,permit 
wakeru,divide 
shizen,nature 
apa-to,apartment 
hoteru,hotel 
pasokon,personal computer 
umai,good at 
akarui,bright 
isogu,hurry 
uta,song 
chuugakkou,junior high school 
tesuto,test 
posuto,postbox 
hankachi,handkerchief 
kami,hair 
boushi,hat 
kaburu,wear 
burausu,blouse 
shuumatsu,weekend 
senshuu,last week 
saraishuu,the week after next 
itsuka,some time 
shukudai,homework 
kagi,key 
kasa,umbrella 
norikaeru,change 
mukau,face 
honya,bookstore (colloquial) 
ocha,tea (polite) 
kaisatsuguchi,ticket gate 
hare,fine weather 
basutei,bus stop 
kumori,cloudy weather 
shio,salt 
takusan,a lot 
daikirai,hate 
naka,inside 
nikai,second floor 
nakusu,lose 
maamaa,OK 
kiiro,yellow color 
ranchi,lunch (loan word) 
sakana,fish 
aji,taste 
ringo,apple 
mikan,tangerine 
sara,plate 
ko-hi-,coffee 
koppu,cup 
futari,two persons 
yamu,stop 
kyuu,nine 
hiruma,daytime 
itsugoro,about when 
ji,(individual) character 
nana,seven (Chinese origin) 
otsuri,change (of money) 
myouji,surname 
oji,(one’s own) uncle 
oba,(one’s own) aunt 
sofu,grandfather (formal) 
sobo,grandmother (formal) 
daiji,importance 
mikata,view 
tori,bird 
inu,dog 
henji,reply 
mata,again 
nenkan,period of one year 
ao,blue 
aka,red color 
shingou,signal 
en,circle 
hijouni,very 
fukuzatsu,complicated 
heiwa,peace 
mawaru,turn round 
wakamono,young person 
yuki,snow 
umai,sweet 
omoidasu,recollect 
kikoeru,hear 
kariru,borrow 
kaesu,return 
uketoru,receive 
suteru,discard 
issho,together 
asobi,play 
utsusu,move 
ookisa,size 
kangae,thought 
kuukou,airport (for public transportation) 
shuppatsu,departure 
chizu,map 
unten,drive 
oriru,get off 
gasu,gas (loan word) 
kanarazu,without exception 
kamera,camera 
kayou,go to and from 
kyuuni,suddenly 
sarari-man,office worker 
kyuuryou,salary 
kyoku,piece of music 
kireru,cut well 
tadashii,correct 
kurushii,painful 
komakai,minute 
shizuka,quiet 
kenkou,health 
gorufu,golf 
ko-su,course 
tanomu,order 
komaru,be in trouble 
zutto,all the time 
tatoeba,for example 
tsumori,intention 
shibaraku,a little while 
shoukai,introduction 
shougakkou,elementary school 
kouen,park 
chuugaku,junior high 
seiseki,results 
kyoukasho,textbook 
seki,seat 
kyoushitsu,classroom 
kyoushi,teacher 
shiken,exam 
goukaku,pass an examination 
suugaku,mathematics 
suuji,numeric characters 
ongaku,music 
shokuji,meal 
kabe,wall 
shinjiru,believe 
sodateru,bring up 
taoreru,fall over 
otosu,drop 
kawaru,substitute 
takushi-,taxi 
tashika,for sure 
tateru,stand 
chuugakusei,junior high school student 
ureru,sell 
tsuku,arrive at 
kimaru,be decided 
kazaru,decorate 
korosu,kill 
sageru,lower 
okuru,offer 
tazuneru,visit 
utsu,hit 
soudan,consultation 
genkan,entrance 
kyoudai,sibling 
chounan,eldest son 
takasa,height 
you,things to do 
jidai,age 
ichi,position 
kisetsu,season 
ana,hole 
ura,the back 
shima,island (Japanese origin) 
kaigan,seashore 
garasu,glass (material) 
shizen,natural 
kaze,wind 
kagaku,science 
taiyou,sun 
taifuu,typhoon 
kita,north 
uma,horse 
gyuuniku,beef 
zasshi,magazine 
shousetsu,novel 
taishikan,embassy 
koshou,malfunction 
ondo,temperature 
nanika,something 
mukou,over there 
mannaka,center 
tooku,far away 
yoko,side 
tsumaranai,boring 
subarashii,excellent 
maitoshi/ mainen,every year (colloquial) 
raigetsu,next month 
nichiji,date and time 
yuugata,early evening 
tooru,pass 
jidousha,automobile 
nareru,grow accustomed to 
toru,take (a photograph) 
yatto,at last 
dondon,knock 
naraberu,line up 
nigeru,escape 
watasu,hand over 
nedan,price 
ryouhou,both 
yakusoku,promise 
ichibu,part 
rajio,radio 
nyuuin,be hospitalized 
nyu-su,news 
ryokou,travel 
youi,preparation 
nobiru,stretch 
pa-ti-,party 
bi-ru,beer 
hayaku,early 
bangumi,program 
bideo,video 
fuyasu,increase 
furu,wave 
mukaeru,welcome 
muri,unreasonable 
mezurashii,rare 
yuumei,famous 
yorokobu,be happy 
ryuugaku,study abroad 
ryouri,cooking 
yasai,vegetable 
wakareru,be divided 
tokubetsu,special 
riyuu,reason 
jiyuu,freedom 
houkou,direction 
nokoru,remain 
biru,building 
matomeru,gather together 
nagareru,flow 
se-ta-,sweater 
shatsu,shirt 
sentaku,laundry 
machigaeru,make a mistake 
aisukuri-mu,ice cream 
kawaku,become dry 
sameru,cool off 
iroiro,a variety of 
motteiku,take 
kigaeru,change clothes 
sekken,soap 
yakyuu,baseball 
chyuushoku,lunch 
choushoku,breakfast 
nemuru,sleep 
hajime,beginning 
hi,fire 
nishi,west 
higashi,east 
minami,south 
yuushoku,supper 
nakanaka,rather 
hagemasu,encourage 
namida,tear 
yume,dream 
shokuba,place of work 
tonari,next to 
manshon,apartment 
erebe-ta-,elevator 
mado,window 
osu,push 
nyuugaku,enter a school 
to,door 
toori,street 
nakunaru,die 
fuufu,married couple 
josei,woman 
mori,forest 
torakku,truck 
reko-do,record 
netsu,heat 
pe-ji,page 
odoru,dance 
nagasa,length 
atsusa,thickness 
himitsu,secret 
